the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
0101000020E61000009D2CB5DE6FED50405CACA8C134F84040,"33.93911, 67.709953",33.93911,67.709953,2,121,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002C400000000000004140,"34, 14",34,14,52,122,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000086E63A8DB4541BC0336B2920ED014140,"34.015049, -6.83272",34.015049,-6.83272,19,123,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992840CDCCCCCCCC0C4140,"34.1, 12.3",34.1,12.3,36,124,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000006666666666662F40CDCCCCCCCC0C4140,"34.1, 15.7",34.1,15.7,500,125,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000066A19DD32C501AC0149337C0CC214140,"34.264061, -6.578296",34.264061,-6.578296,203,126,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000168942EFD4A51402F34D769A4434140,"34.528455, 69.171703",34.528455,69.171703,1,127,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000027D9EA724A0C32403E40F7E5CC464140,"34.553128, 18.048011",34.553128,18.048011,30,128,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000F6285C8FC2352940B6F3FDD478494140,"34.574, 12.605",34.574,12.605,217,129,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000AE4A22FB20232640E277D32D3B544140,"34.658056, 11.068611",34.658056,11.068611,55,130,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000041F2CEA10C95FEBF081F4AB4E4574140,"34.686667, -1.911389",34.686667,-1.911389,17,131,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000066666666666629409A99999999594140,"34.7, 12.7",34.7,12.7,27,132,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002F409A99999999594140,"34.7, 15.5",34.7,15.5,12,133,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
